mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time
social_groups,21062308_21062311,1302.12,21.7,296.58,4.94,830.83,13.85,0.23,0.64
social_groups,21062320_21062323,1779.41,29.66,338.13,5.64,1201.59,20.03,0.19,0.68
social_groups,21062508_21062511,1348.88,22.48,294.96,4.92,864.49,14.41,0.22,0.64
social_groups,21062520_21062523,2247.03,37.45,412.64,6.88,1519.73,25.33,0.18,0.68
social_groups,21062708_21062711,1088.89,18.15,412.38,6.87,561.84,9.36,0.38,0.52
social_groups,21062720_21062723,1131.39,18.86,321.14,5.35,673.5,11.22,0.28,0.6
social_groups,21100608_21100611,2522.97,42.05,1212.11,20.2,1105.97,18.43,0.48,0.44
social_groups,21100620_21100623,2213.84,36.9,607.49,10.12,1364.12,22.74,0.27,0.62
social_groups,21100808_21100811,2586.21,43.1,1240.48,20.67,1126.25,18.77,0.48,0.44
social_groups,21100820_21100823,2745.34,45.76,777.59,12.96,1641.82,27.36,0.28,0.6
social_groups,21101008_21101011,1167.6,19.46,456.65,7.61,597.96,9.97,0.39,0.51
social_groups,21101020_21101023,1232.31,20.54,385.78,6.43,708.84,11.81,0.31,0.58
social_groups,21111008_21111011,2135.6,35.59,886.3,14.77,1046.53,17.44,0.42,0.49
social_groups,21111020_21111023,2142.53,35.71,607.41,10.12,1295.21,21.59,0.28,0.6
social_groups,21111208_21111211,2230.17,37.17,992.88,16.55,1029.18,17.15,0.45,0.46
social_groups,21111220_21111223,2824.36,47.07,742.67,12.38,1752.92,29.22,0.26,0.62
social_groups,21111408_21111411,1306.75,21.78,554.36,9.24,640.56,10.68,0.42,0.49
social_groups,21111420_21111423,1283.52,21.39,421.37,7.02,723.41,12.06,0.33,0.56
