mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,geh_traffic,geh_pickup,geh_dropoff
social_groups,21062308_21062311,65800,38649,38756,56543,19036,19040,14.07,50.75,50.87,19459,0.4,0.66,21.61,0.45,0.75
social_groups,21062320_21062323,63411,50384,50409,54278,26780,26782,14.4,46.85,46.87,23561,0.09,0.13,21.74,0.11,0.17
social_groups,21100608_21100611,296837,38649,38756,248575,10824,10824,16.26,71.99,72.07,27463,0.94,1.21,53.36,1.07,1.38
social_groups,21100620_21100623,170662,50384,50409,144986,26041,26045,15.04,48.31,48.33,24298,0.09,0.13,37.31,0.12,0.17
social_groups,21100808_21100811,295611,40740,40735,243396,9928,9928,17.66,75.63,75.63,30494,0.78,0.77,58.07,0.91,0.9
social_groups,21100820_21100823,198656,68037,67977,165098,28927,28934,16.89,57.48,57.44,38978,0.19,0.1,45.43,0.29,0.14
social_groups,21101008_21101011,200802,22281,22313,172007,9026,9028,14.34,59.49,59.54,13104,0.68,0.81,38.51,0.59,0.7
social_groups,21101020_21101023,142304,31119,31073,121772,16087,16089,14.43,48.3,48.22,14922,0.35,0.2,32.62,0.36,0.2
social_groups,21111008_21111011,275033,38649,38756,232410,13593,13598,15.5,64.83,64.91,24812,0.63,0.89,48.85,0.72,1.02
social_groups,21111020_21111023,191105,50384,50409,162448,24387,24387,15.0,51.6,51.62,25938,0.12,0.17,39.35,0.15,0.22
social_groups,21111208_21111211,280637,40740,40735,237435,13583,13585,15.39,66.66,66.65,26984,0.42,0.41,49.01,0.5,0.48
social_groups,21111220_21111223,186553,68037,67977,157748,31755,31760,15.44,53.33,53.28,36218,0.09,0.0,40.08,0.14,0.0
social_groups,21111408_21111411,206323,22281,22313,176413,7202,7203,14.5,67.68,67.72,14929,0.67,0.81,39.47,0.58,0.7
social_groups,21111420_21111423,144762,31119,31073,123178,15823,15825,14.91,49.15,49.07,15184,0.36,0.21,34.05,0.37,0.21
