mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time,total_load
social_groups,21062308_21062314,1591.68,26.53,497.16,8.29,897.16,14.95,0.31,0.56,165943
social_groups,21062320_21062402,1759.32,29.32,465.86,7.76,1075.02,17.92,0.26,0.61,152025
social_groups,21062508_21062514,1650.1,27.5,527.48,8.79,916.44,15.27,0.32,0.56,183747
social_groups,21062520_21062602,2945.84,49.1,680.78,11.35,1876.49,31.27,0.23,0.64,214196
social_groups,21062708_21062714,1820.25,30.34,885.09,14.75,774.58,12.91,0.49,0.43,306611
social_groups,21062720_21062802,1145.19,19.09,461.14,7.69,569.86,9.5,0.4,0.5,136658
social_groups,21100608_21100614,2470.07,41.17,1351.05,22.52,916.48,15.27,0.55,0.37,435840
social_groups,21100620_21100702,2143.62,35.73,849.52,14.16,1069.01,17.82,0.4,0.5,244708
social_groups,21100808_21100814,2785.32,46.42,1603.41,26.72,965.34,16.09,0.58,0.35,433310
social_groups,21100820_21100902,3522.47,58.71,1199.43,19.99,1936.62,32.28,0.34,0.55,328363
social_groups,21101008_21101014,1803.48,30.06,843.64,14.06,795.58,13.26,0.47,0.44,316192
social_groups,21101020_21101102,1214.51,20.24,534.56,8.91,565.67,9.43,0.44,0.47,168896
social_groups,21111008_21111014,2377.83,39.63,1227.12,20.45,948.62,15.81,0.52,0.4,414617
social_groups,21111020_21111102,2191.02,36.52,872.57,14.54,1095.88,18.26,0.4,0.5,261370
social_groups,21111208_21111214,2440.31,40.67,1282.37,21.37,944.94,15.75,0.53,0.39,417740
social_groups,21111220_21111302,3452.64,57.54,1169.07,19.48,1894.56,31.58,0.34,0.55,323455
social_groups,21111408_21111414,1816.68,30.28,856.24,14.27,798.62,13.31,0.47,0.44,321058
social_groups,21111420_21111502,1215.12,20.25,545.11,9.09,557.54,9.29,0.45,0.46,174523
