mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time,total_load
social_groups_avg,21101008_21101014,1571.9,26.2,832.5,13.87,629.02,10.48,0.53,0.4,310183.0
social_groups_avg,21101008_21101020,3618.94,60.31,1888.08,31.47,1478.31,24.64,0.52,0.41,661619.33
social_groups_avg,21101020_21101021,313.01,5.21,131.06,2.18,154.12,2.57,0.42,0.49,44135.33
social_groups_avg,21101020_21101023,734.43,12.24,333.65,5.56,338.81,5.65,0.45,0.46,120505.67
social_groups_avg,21101020_21101102,1120.43,18.68,524.33,8.74,506.08,8.43,0.47,0.45,165479.0
social_groups_avg,21101020_21101108,3578.07,59.64,2434.66,40.58,985.64,16.43,0.68,0.28,336777.33
social_groups_avg,21111008_21111009,446.8,7.45,179.61,2.99,226.21,3.77,0.4,0.51,65274.67
social_groups_avg,21111008_21111011,1160.73,19.34,584.51,9.74,483.6,8.06,0.51,0.42,204223.67
social_groups_avg,21111008_21111014,2139.69,35.66,1205.85,20.1,783.82,13.06,0.57,0.37,407928.67
social_groups_avg,21111008_21111020,5102.49,85.04,2819.37,46.99,1940.03,32.33,0.55,0.38,863793.0
social_groups_avg,21111020_21111021,473.05,7.89,178.17,2.97,249.46,4.16,0.38,0.53,58632.33
social_groups_avg,21111020_21111023,1207.59,20.13,509.96,8.5,591.72,9.86,0.42,0.49,172480.67
social_groups_avg,21111020_21111102,1966.23,32.77,862.5,14.37,931.19,15.52,0.44,0.48,255213.67
social_groups_avg,21111020_21111108,2760.88,46.01,1104.0,18.4,1417.93,23.63,0.4,0.51,290520.33
social_groups_avg,21111208_21111209,457.98,7.63,191.77,3.2,225.53,3.76,0.42,0.49,68737.67
social_groups_avg,21111208_21111211,1186.91,19.78,612.4,10.21,479.94,8.0,0.51,0.41,210285.67
social_groups_avg,21111208_21111214,2158.76,35.98,1208.65,20.14,793.88,13.23,0.56,0.37,410056.33
social_groups_avg,21111208_21111220,5461.98,91.03,2884.38,48.07,2186.76,36.44,0.53,0.4,874150.33
social_groups_avg,21111220_21111221,590.06,9.83,202.22,3.37,327.81,5.46,0.34,0.56,63749.67
social_groups_avg,21111220_21111223,1502.88,25.05,608.92,10.15,754.2,12.57,0.41,0.5,191676.0
social_groups_avg,21111220_21111302,2852.21,47.54,1147.93,19.13,1435.79,23.93,0.4,0.5,314031.0
social_groups_avg,21111220_21111308,5430.15,90.5,3163.18,52.72,1918.64,31.98,0.58,0.35,449682.0
social_groups_avg,21111408_21111409,208.82,3.48,99.71,1.66,93.26,1.56,0.48,0.45,39589.33
social_groups_avg,21111408_21111411,720.28,12.0,377.2,6.28,292.89,4.88,0.52,0.41,144972.0
social_groups_avg,21111408_21111414,1569.43,26.16,840.75,14.01,619.71,10.33,0.54,0.4,314918.67
social_groups_avg,21111408_21111420,3623.3,60.39,1907.63,31.79,1466.04,24.44,0.53,0.4,668262.0
social_groups_avg,21111420_21111421,307.94,5.13,130.78,2.18,149.7,2.5,0.43,0.49,44816.33
social_groups_avg,21111420_21111423,733.43,12.22,339.47,5.66,333.02,5.55,0.46,0.45,121806.0
social_groups_avg,21111420_21111502,1127.97,18.8,536.39,8.94,502.88,8.38,0.47,0.45,170647.0
social_groups_avg,21111420_21111508,3405.19,56.75,2291.77,38.2,959.55,15.99,0.67,0.28,339643.67
