mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time
social_groups_avg,21062708_21062720,3369.77,56.16,2030.46,33.84,1195.97,19.93,,
social_groups_avg,21062720_21062721,266.64,4.44,118.5,1.98,130.3,2.17,,
social_groups_avg,21062720_21062723,621.28,10.36,308.83,5.15,274.73,4.57,,
social_groups_avg,21062720_21062802,995.24,16.58,532.77,8.88,409.92,6.83,,
social_groups_avg,21062720_21062808,2939.28,48.98,2040.76,34.01,807.19,13.46,,
social_groups_avg,21100608_21100609,428.98,7.14,197.39,3.29,215.28,3.59,,
social_groups_avg,21100608_21100611,1130.86,18.85,643.33,10.72,450.19,7.5,,
social_groups_avg,21100608_21100614,2180.89,36.35,1424.79,23.75,694.96,11.58,,
social_groups_avg,21100608_21100620,5191.8,86.53,3485.54,58.09,1570.95,26.18,,
social_groups_avg,21100620_21100621,459.66,7.66,207.68,3.46,233.42,3.89,,
social_groups_avg,21100620_21100623,1122.38,18.71,547.48,9.12,530.3,8.84,,
social_groups_avg,21100620_21100702,1848.98,30.82,970.4,16.18,780.0,13.0,,
social_groups_avg,21100620_21100708,3881.47,64.69,2596.5,43.28,1143.58,19.06,,
social_groups_avg,21100808_21100809,428.57,7.14,194.96,3.25,216.67,3.61,,
social_groups_avg,21100808_21100811,1177.36,19.62,682.82,11.38,456.58,7.61,,
social_groups_avg,21100808_21100814,2477.62,41.3,1708.5,28.48,706.64,11.78,,
social_groups_avg,21100808_21100820,6692.12,111.54,4683.78,78.06,1846.24,30.77,,
social_groups_avg,21100820_21100821,565.12,9.42,218.28,3.64,305.15,5.08,,
social_groups_avg,21100820_21100823,1441.66,24.02,717.84,11.96,637.21,10.62,,
social_groups_avg,21100820_21100902,2644.66,44.08,1337.48,22.3,1153.59,19.23,,
social_groups_avg,21100820_21100908,4604.79,76.74,2866.34,47.78,1542.46,25.71,,
social_groups_avg,21101008_21101009,237.89,3.96,125.81,2.1,99.87,1.66,,
social_groups_avg,21101008_21101011,697.78,11.63,376.38,6.28,283.74,4.73,,
social_groups_avg,21101008_21101014,1484.77,24.74,868.01,14.46,545.52,9.09,,
social_groups_avg,21101008_21101020,3555.96,59.26,2170.56,36.18,1235.92,20.6,,
social_groups_avg,21101020_21101021,296.46,4.94,134.41,2.24,142.33,2.38,,
social_groups_avg,21101020_21101023,675.73,11.26,360.04,6.0,277.97,4.64,,
social_groups_avg,21101020_21101102,1062.86,17.72,585.43,9.75,423.58,7.06,,
social_groups_avg,21101020_21101108,3272.66,54.54,2370.64,39.52,809.86,13.5,,
social_groups_avg,21111008_21111009,424.92,7.09,181.48,3.02,213.86,3.56,,
social_groups_avg,21111008_21111011,1073.4,17.89,613.38,10.22,422.84,7.04,,
social_groups_avg,21111008_21111014,2078.6,34.64,1342.16,22.37,674.92,11.25,,
social_groups_avg,21111008_21111020,5055.34,84.26,3321.94,55.36,1594.18,26.57,,
social_groups_avg,21111020_21111021,421.35,7.02,180.11,3.0,223.58,3.72,,
social_groups_avg,21111020_21111023,1169.99,19.5,599.59,9.99,526.62,8.78,,
social_groups_avg,21111020_21111102,1865.22,31.08,997.55,16.62,766.75,12.78,,
social_groups_avg,21111020_21111108,2581.37,43.03,1303.7,21.72,1138.61,18.98,,
social_groups_avg,21111208_21111209,420.78,7.01,192.34,3.2,212.02,3.54,,
social_groups_avg,21111208_21111211,1117.03,18.62,643.58,10.73,435.66,7.26,,
social_groups_avg,21111208_21111214,2115.61,35.26,1367.98,22.8,683.45,11.39,,
social_groups_avg,21111208_21111220,5326.46,88.78,3408.58,56.81,1761.41,29.36,,
social_groups_avg,21111220_21111221,558.92,9.32,225.68,3.76,309.46,5.16,,
social_groups_avg,21111220_21111223,1439.18,23.98,714.35,11.91,669.44,11.16,,
social_groups_avg,21111220_21111302,2722.5,45.38,1397.96,23.3,1175.38,19.59,,
social_groups_avg,21111220_21111308,5424.2,90.4,3560.8,59.35,1654.78,27.58,,
social_groups_avg,21111408_21111409,234.9,3.92,123.1,2.05,99.77,1.66,,
social_groups_avg,21111408_21111411,685.1,11.42,381.55,6.36,283.65,4.73,,
social_groups_avg,21111408_21111414,1533.74,25.56,919.44,15.32,568.61,9.48,,
social_groups_avg,21111408_21111420,3648.92,60.82,2297.68,38.29,1250.22,20.84,,
social_groups_avg,21111420_21111421,278.0,4.64,134.05,2.24,132.72,2.21,,
social_groups_avg,21111420_21111423,750.44,12.51,415.88,6.94,309.02,5.15,,
social_groups_avg,21111420_21111502,1107.64,18.46,629.58,10.5,424.0,7.07,,
social_groups_avg,21111420_21111508,3350.96,55.85,2431.31,40.52,826.34,13.77,,
