mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,geh_traffic,geh_pickup,geh_dropoff
social_groups,21062308_21062311,47037,31896,31913,46999,26766,26772,0.08,16.08,16.11,5050,0.25,0.29,0.1,0.26,0.29
social_groups,21062508_21062511,51758,33659,33646,51714,28143,28147,0.09,16.39,16.34,5446,0.21,0.16,0.11,0.22,0.17
social_groups,21062708_21062711,135300,18171,18207,134938,14309,14311,0.27,21.25,21.4,3852,0.06,0.24,0.57,0.04,0.19
social_groups,21100608_21100611,212199,31896,31913,209900,23092,23093,1.08,27.6,27.64,8746,0.18,0.23,2.89,0.19,0.24
social_groups,21100808_21100811,211327,33659,33646,205787,22832,22839,2.62,32.17,32.12,10742,0.25,0.19,7.0,0.27,0.2
social_groups,21101008_21101011,143554,18171,18207,143233,14092,14093,0.22,22.45,22.6,4073,0.03,0.23,0.49,0.03,0.18
social_groups,21111008_21111011,196616,31896,31913,194259,24555,24562,1.2,23.02,23.03,7313,0.09,0.12,3.08,0.09,0.12
social_groups,21111208_21111211,200615,33659,33646,198557,24954,24961,1.03,25.86,25.81,8629,0.23,0.17,2.66,0.24,0.18
social_groups,21111408_21111411,147524,18171,18207,146907,14188,14190,0.42,21.92,22.06,3971,0.07,0.25,0.93,0.05,0.2
