vehicle_id;origin_edge_id;origin_taz_id;destination_edge_id;destination_taz_id;origin_starting_time
104;437435583;542;-224384013#1;544;2021-06-25 20:00:16
105;-417387776;280;107288559;277;2021-06-25 20:00:16
106;-718501562;336;398677931#0;336;2021-06-25 20:00:16
107;396985364#0;406;-397079440#2;406;2021-06-25 20:00:16
108;84654229#0;706;254758132#0;703;2021-06-25 20:00:16
109;133755909;895;397119879;893;2021-06-25 20:00:17
110;143617587;657;26786644#0;657;2021-06-25 20:00:17
111;-8921294#0;79;133748416#0;81;2021-06-25 20:00:17
112;397093081;589;-24335439#2;591;2021-06-25 20:00:17
113;-E38;599;437964226#0;600;2021-06-25 20:00:17
114;-678748550;890;254968972#0;889;2021-06-25 20:00:17
115;-681402367;550;-61154587;547;2021-06-25 20:00:18
116;192552507#0;158;8918053;158;2021-06-25 20:00:18
117;E39.13;621;417087300#0;622;2021-06-25 20:00:18
118;417235842#0;608;772325369;605;2021-06-25 20:00:18
119;8921702;76;30757766;78;2021-06-25 20:00:19
120;712555564;877;-254984075#0;877;2021-06-25 20:00:19
121;204884387#0;938;224316522#0;938;2021-06-25 20:00:19
122;948053614;491;396983464#0;490;2021-06-25 20:00:19
123;-E14;740;8918656#0;742;2021-06-25 20:00:19
124;8918853;688;99278921#0;687;2021-06-25 20:00:19
125;-681660476;729;-254466687#0;729;2021-06-25 20:00:19
126;619590730#0;806;283512618#0;809;2021-06-25 20:00:20
127;283527464#0;406;-133743897#6;408;2021-06-25 20:00:20
128;680402692;777;-680402685#1;776;2021-06-25 20:00:20
129;283527464#0;406;396985371#0;406;2021-06-25 20:00:20
130;28738271#2;817;85644959#9;819;2021-06-25 20:00:20
131;157018878#0;196;694654075#5;196;2021-06-25 20:00:20
132;-619979101;684;84733260#0;681;2021-06-25 20:00:20
133;254982294;529;-437436468#0;532;2021-06-25 20:00:20
134;-E14;740;-228196396#1;742;2021-06-25 20:00:20
135;543844602#0;608;-88572874#1;609;2021-06-25 20:00:20
136;283527464#0;406;-108195533;408;2021-06-25 20:00:20
137;283527464#0;406;225516729#0;407;2021-06-25 20:00:20
138;-681660476;729;-962138905#1;726;2021-06-25 20:00:20
139;-192552506#0;157;192552507#0;158;2021-06-25 20:00:20
140;147396708#3;918;679078803#1;915;2021-06-25 20:00:20
141;-619979101;684;-1215824145;684;2021-06-25 20:00:20
142;-635235528;236;120257664#0;237;2021-06-25 20:00:21
143;247329525#0;45;8919527#4;46;2021-06-25 20:00:21
144;286265341#0;155;224384058#2;152;2021-06-25 20:00:21
145;283529427#0;907;283529420#0;907;2021-06-25 20:00:21
146;283512618#0;809;88463826#1;808;2021-06-25 20:00:21
147;-770016877#1;924;-516619534#2;927;2021-06-25 20:00:21
148;1124361415#0;569;397138005#0;570;2021-06-25 20:00:22
149;26943484#1;579;417390290#1;582;2021-06-25 20:00:22
150;29023785#0;747;86334994#0;745;2021-06-25 20:00:22
151;680402692;777;99231463#0;780;2021-06-25 20:00:22
152;676285191;503;-225806045#6;505;2021-06-25 20:00:22
153;1208152331#2;895;-1208152330;893;2021-06-25 20:00:23
154;E39.13;621;24335469#2;624;2021-06-25 20:00:23
155;396985364#0;406;27044185#1;406;2021-06-25 20:00:23
156;414359349#0;406;983283669;409;2021-06-25 20:00:24
157;-28575530#1;226;415780670#3;224;2021-06-25 20:00:24
158;-254750503#2;50;-254759947#1;48;2021-06-25 20:00:24
159;120256349#0;776;-224373753#1;775;2021-06-25 20:00:24
160;-255351740;440;28572434#1;442;2021-06-25 20:00:24
161;283527464#0;406;-133743897#2;408;2021-06-25 20:00:24
162;E39.13;621;91181769#2;622;2021-06-25 20:00:24
163;88572881#0;773;-717728151#1;770;2021-06-25 20:00:24
164;204884387#0;938;619979114;938;2021-06-25 20:00:24
165;1112220490#0;622;417087368;622;2021-06-25 20:00:24
166;E39.13;621;512038661;620;2021-06-25 20:00:24
167;-254396717#2;709;254396717#0;710;2021-06-25 20:00:24
