timestamp;vehicle_id;longitude;latitude;heading;avg_speed
2021-01-01T00:00:13.000;2066;-122,446701;37,722473;180;0
2021-01-01T00:00:14.000;1426;-122,384277;37,751629;0;0
2021-01-01T00:00:14.000;2027;-122,386497;37,75124;345;0
2021-01-01T00:00:14.000;6628;-122,414375;37,765785;345;0
2021-01-01T00:00:14.000;7283;-122,393761;37,793606;135;0
2021-01-01T00:00:14.000;8756;-122,414917;37,773621;300;23
2021-01-01T00:00:14.000;8656;-122,504364;37,737827;0;10
2021-01-01T00:00:14.000;1518;-122,447006;37,722477;180;0
2021-01-01T00:00:14.000;5792;-122,446571;37,784317;345;0
2021-01-01T00:00:14.000;8863;-122,424911;37,801262;75;0
2021-01-01T00:00:14.000;5755;-122,446693;37,784927;0;0
2021-01-01T00:00:15.000;7234;-122,409645;37,764023;345;0
2021-01-01T00:00:15.000;8954;-122,411392;37,807384;75;0
2021-01-01T00:00:15.000;5794;-122,446663;37,784054;0;0
2021-01-01T00:00:15.000;5780;-122,446686;37,784138;345;0
2021-01-01T00:00:15.000;5827;-122,446953;37,784927;0;0
2021-01-01T00:00:15.000;8719;-122,411934;37,807785;255;14
2021-01-01T00:00:15.000;5868;-122,446632;37,784828;0;0
2021-01-01T00:00:15.000;2042;-122,384651;37,751877;0;0
2021-01-01T00:00:15.000;6505;-122,390358;37,748566;165;16
2021-01-01T00:00:16.000;1469;-122,384331;37,752377;135;0
2021-01-01T00:00:16.000;1408;-122,386215;37,751488;0;0
2021-01-01T00:00:16.000;5757;-122,446663;37,784805;0;0
2021-01-01T00:00:16.000;2018;-122,385712;37,752399;180;0
2021-01-01T00:00:17.000;7275;-122,409538;37,765255;0;0
2021-01-01T00:00:17.000;1409;-122,446693;37,722122;30;0
2021-01-01T00:00:17.000;8966;-122,411232;37,807663;255;0
2021-01-01T00:00:17.000;8636;-122,395828;37,776421;30;0
2021-01-01T00:00:17.000;2013;-122,384636;37,752129;0;0
2021-01-01T00:00:17.000;5720;-122,409508;37,764076;0;0
2021-01-01T00:00:18.000;5765;-122,43792;37,775124;165;0
2021-01-01T00:00:18.000;6544;-122,509468;37,779289;165;0
2021-01-01T00:00:18.000;7254;-122,409676;37,763187;0;0
2021-01-01T00:00:18.000;1459;-122,384216;37,751743;165;0
2021-01-01T00:00:18.000;1520;-122,384155;37,751793;0;0
2021-01-01T00:00:18.000;2015;-122,446831;37,722466;0;0
2021-01-01T00:00:18.000;1540;-122,384491;37,751278;0;0
2021-01-01T00:00:18.000;8723;-122,403969;37,787285;45;14
2021-01-01T00:00:18.000;1512;-122,38414;37,752018;0;0
2021-01-01T00:00:18.000;5835;-122,446884;37,784485;345;0
2021-01-01T00:00:19.000;2021;-122,446754;37,722271;180;0
2021-01-01T00:00:19.000;5763;-122,446487;37,784096;330;0
2021-01-01T00:00:19.000;8643;-122,390175;37,756393;0;0
2021-01-01T00:00:19.000;8967;-122,411598;37,807423;75;0
2021-01-01T00:00:19.000;7238;-122,409622;37,763874;345;0
2021-01-01T00:00:19.000;1485;-122,384407;37,751389;15;0
2021-01-01T00:00:19.000;8897;-122,394989;37,794216;45;0
2021-01-01T00:00:19.000;8925;-122,41156;37,807423;60;0
2021-01-01T00:00:20.000;1404;-122,384254;37,75174;0;0
2021-01-01T00:00:20.000;2006;-122,446678;37,722389;180;0
2021-01-01T00:00:20.000;5732;-122,409836;37,763756;165;0
2021-01-01T00:00:21.000;5837;-122,44664;37,784565;345;0
2021-01-01T00:00:21.000;8749;-122,391663;37,757149;150;0
2021-01-01T00:00:21.000;8871;-122,504921;37,736122;75;0
