mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,difference_pickup,difference_dropoff
sumo,21100608_21100611,184538,25666,25701,169161,25616,25624,8.33,0.19,0.3,0,0.19,0.3,50,77
sumo,21100620_21100621,43360,12084,12094,36908,12082,12084,14.88,0.02,0.08,0,0.02,0.08,2,10
sumo,21100808_21100809,59222,9714,9695,51914,9709,9712,12.34,0.05,0.18,0,0.05,0.18,5,-17
sumo,21100808_21100811,185427,27096,27078,167843,26880,26884,9.48,0.8,0.72,0,0.8,0.72,216,194
sumo,21100820_21100821,45979,15829,15835,39271,15827,15827,14.59,0.01,0.05,0,0.01,0.05,2,8
sumo,21101008_21101009,40097,3423,3429,34480,3422,3422,14.01,0.03,0.2,0,0.03,0.2,1,7
sumo,21101008_21101011,128141,14758,14786,114846,14749,14755,10.38,0.06,0.21,0,0.06,0.21,9,31
sumo,21101008_21101014,261957,37323,37366,237996,37313,37320,9.15,0.03,0.12,0,0.03,0.12,10,46
sumo,21101020_21101021,36216,7631,7624,30431,7629,7629,15.97,0.03,0.07,0,0.03,0.07,2,-5
sumo,21101020_21101023,97323,20676,20671,81252,20671,20675,16.51,0.02,0.02,0,0.02,0.02,5,-4
sumo,21111008_21111009,55824,9660,9662,48117,9626,9629,13.81,0.35,0.34,0,0.35,0.34,34,33
sumo,21111008_21111011,173277,25666,25701,155074,25629,25637,10.51,0.14,0.25,0,0.14,0.25,37,64
sumo,21111020_21111021,44113,12084,12094,37006,12083,12084,16.11,0.01,0.08,0,0.01,0.08,1,10
sumo,21111020_21111023,125439,33562,33594,108890,33553,33560,13.19,0.03,0.1,0,0.03,0.1,9,34
sumo,21111208_21111209,58636,9714,9695,52023,9703,9709,11.28,0.11,0.14,0,0.11,0.14,11,-14
sumo,21111208_21111211,177567,27096,27078,159798,27003,27012,10.01,0.34,0.24,0,0.34,0.24,93,66
sumo,21111220_21111221,43356,15829,15835,35517,15819,15825,18.08,0.06,0.06,0,0.06,0.06,10,10
sumo,21111220_21111223,125335,45341,45322,105718,45302,45315,15.65,0.09,0.02,0,0.09,0.02,39,7
sumo,21111408_21111409,40950,3423,3429,33617,3423,3423,17.91,0.0,0.17,0,0.0,0.17,0,6
sumo,21111408_21111411,133077,14758,14786,117811,14754,14756,11.47,0.03,0.2,0,0.03,0.2,4,30
sumo,21111408_21111414,270378,37323,37366,243553,37299,37306,9.92,0.06,0.16,0,0.06,0.16,24,60
sumo,21111420_21111421,37178,7631,7624,30878,7629,7631,16.95,0.03,0.09,0,0.03,0.09,2,-7
sumo,21111420_21111423,99040,20676,20671,82318,20668,20675,16.88,0.04,0.02,0,0.04,0.02,8,-4
